iter	Passed	Remaining
0	14	14435
1	33	16869
2	54	18203
3	69	17219
4	90	17992
5	104	17266
6	124	17649
7	139	17263
8	158	17495
9	172	17086
10	191	17181
11	204	16869
12	223	16966
13	236	16655
14	256	16822
15	270	16606
16	288	16708
17	302	16505
18	321	16605
19	334	16402
20	353	16489
21	367	16354
22	387	16445
23	399	16266
24	419	16364
25	433	16226
26	452	16289
27	465	16169
28	485	16261
29	499	16144
30	518	16196
31	530	16057
32	550	16126
33	564	16044
34	583	16096
35	600	16085
36	620	16138
37	632	16019
38	654	16132
39	683	16400
40	698	16337
41	716	16350
42	732	16296
43	754	16402
44	771	16362
45	789	16379
46	815	16544
47	830	16464
48	857	16640
49	881	16740
50	896	16682
51	924	16862
52	954	17049
53	981	17197
54	1003	17244
55	1026	17300
56	1060	17551
57	1180	19166
58	1357	21654
59	1389	21771
60	1417	21821
61	1446	21887
62	1474	21934
63	1517	22200
64	1553	22349
65	1579	22355
66	1602	22312
67	1621	22228
68	1645	22196
69	1672	22215
70	1687	22079
71	1706	21994
72	1721	21864
73	1750	21902
74	1783	22002
75	1805	21956
76	1820	21818
77	1837	21720
78	1854	21623
79	1875	21572
80	1893	21483
81	2066	23130
82	2149	23742
83	2181	23783
84	2215	23853
85	2250	23913
86	2279	23926
87	2318	24029
88	2347	24026
89	2379	24059
90	2412	24095
91	2446	24142
92	2478	24171
93	2507	24168
94	2539	24195
95	2572	24223
96	2606	24263
97	2640	24302
98	2674	24345
99	2708	24378
100	2743	24417
101	2778	24464
102	2807	24449
103	2839	24464
104	2871	24477
105	2904	24494
106	2934	24489
107	2975	24578
108	3012	24624
109	3051	24685
110	3085	24708
111	3108	24645
112	3140	24651
113	3170	24637
114	3199	24619
115	3234	24645
116	3271	24693
117	3299	24666
118	3334	24683
119	3363	24665
120	3391	24635
121	3409	24538
122	3434	24489
123	3464	24474
124	3491	24442
125	3504	24308
126	3529	24262
127	3564	24281
128	3586	24213
129	3601	24099
130	3616	23988
131	3630	23874
132	3645	23766
133	3661	23660
134	3676	23558
135	3691	23454
136	3706	23351
137	3721	23243
138	3734	23130
139	3748	23023
140	3762	22919
141	3776	22815
142	3789	22711
143	3801	22598
144	3815	22498
145	3829	22398
146	3843	22300
147	3857	22207
148	3871	22109
149	3887	22029
150	3904	21953
151	3919	21866
152	3935	21784
153	3956	21736
154	3981	21704
155	4003	21659
156	4020	21586
157	4045	21559
158	4072	21538
159	4089	21472
160	4104	21389
161	4119	21308
162	4137	21243
163	4152	21165
164	4170	21103
165	4189	21047
166	4205	20975
167	4226	20929
168	4245	20873
169	4268	20838
170	4286	20782
171	4305	20728
172	4322	20664
173	4338	20596
174	4356	20539
175	4374	20482
176	4391	20421
177	4408	20357
178	4426	20302
179	4445	20249
180	4462	20189
181	4486	20166
182	4500	20091
183	4513	20017
184	4526	19942
185	4538	19863
186	4551	19787
187	4564	19712
188	4577	19642
189	4589	19567
190	4602	19494
191	4614	19420
192	4627	19348
193	4638	19272
194	4650	19196
195	4662	19124
196	4675	19056
197	4686	18983
198	4698	18912
199	4710	18843
200	4723	18775
201	4735	18707
202	4748	18643
203	4761	18578
204	4775	18519
205	4789	18462
206	4801	18394
207	4813	18327
208	4826	18267
209	4841	18213
210	4855	18154
211	4866	18090
212	4879	18028
213	4892	17971
214	4906	17913
215	4920	17858
216	4931	17793
217	4945	17739
218	4958	17682
219	4972	17630
220	4986	17576
221	4997	17515
222	5009	17455
223	5022	17398
224	5038	17354
225	5053	17306
226	5066	17252
227	5077	17191
228	5090	17139
229	5103	17086
230	5118	17037
231	5131	16988
232	5143	16931
233	5156	16879
234	5169	16827
235	5184	16785
236	5204	16755
237	5220	16713
238	5236	16674
239	5251	16630
240	5267	16589
241	5284	16551
242	5299	16509
243	5314	16467
244	5329	16424
245	5341	16373
246	5354	16322
247	5367	16275
248	5382	16235
249	5398	16194
250	5413	16154
251	5429	16117
252	5444	16075
253	5459	16033
254	5471	15984
255	5486	15945
256	5501	15905
257	5515	15861
258	5531	15825
259	5545	15783
260	5558	15739
261	5570	15690
262	5583	15645
263	5595	15600
264	5609	15557
265	5624	15521
266	5636	15474
267	5648	15428
268	5662	15387
269	5677	15349
270	5690	15307
271	5704	15268
272	5715	15220
273	5730	15182
274	5742	15140
275	5756	15099
276	5768	15057
277	5780	15013
278	5793	14970
279	5807	14933
280	5822	14898
281	5834	14855
282	5846	14811
283	5858	14770
284	5872	14731
285	5884	14691
286	5895	14645
287	5908	14606
288	5922	14571
289	5935	14532
290	5947	14489
291	5958	14447
292	5971	14410
293	5984	14370
294	5996	14330
295	6007	14288
296	6020	14251
297	6034	14214
298	6045	14172
299	6057	14133
300	6070	14096
301	6082	14058
302	6095	14022
303	6106	13981
304	6120	13947
305	6135	13914
306	6147	13877
307	6157	13835
308	6170	13799
309	6182	13761
310	6194	13724
311	6206	13685
312	6218	13648
313	6231	13613
314	6243	13578
315	6254	13539
316	6267	13503
317	6279	13466
318	6290	13428
319	6301	13389
320	6314	13356
321	6326	13321
322	6337	13283
323	6350	13250
324	6364	13217
325	6377	13184
326	6389	13149
327	6399	13111
328	6413	13079
329	6424	13044
330	6435	13007
331	6448	12975
332	6461	12942
333	6474	12909
334	6485	12874
335	6496	12839
336	6510	12807
337	6522	12775
338	6534	12740
339	6546	12707
340	6560	12677
341	6573	12646
342	6583	12611
343	6595	12577
344	6608	12547
345	6620	12514
346	6632	12480
347	6643	12447
348	6659	12422
349	6672	12392
350	6683	12358
351	6695	12326
352	6708	12295
353	6721	12266
354	6735	12238
355	6747	12206
356	6759	12173
357	6771	12143
358	6783	12111
359	6794	12079
360	6805	12046
361	6818	12017
362	6829	11985
363	6841	11953
364	6853	11923
365	6865	11892
366	6876	11860
367	6888	11830
368	6899	11798
369	6910	11767
370	6922	11736
371	6936	11709
372	6947	11679
373	6959	11647
374	6971	11618
375	6984	11591
376	6995	11559
377	7006	11529
378	7019	11502
379	7033	11474
380	7045	11446
381	7056	11415
382	7067	11386
383	7082	11361
384	7093	11331
385	7105	11302
386	7118	11275
387	7132	11249
388	7144	11221
389	7155	11191
390	7166	11162
391	7180	11137
392	7191	11107
393	7202	11078
394	7215	11050
395	7227	11023
396	7238	10994
397	7249	10964
398	7260	10936
399	7271	10906
400	7282	10877
401	7293	10849
402	7304	10820
403	7315	10791
404	7326	10763
405	7337	10735
406	7349	10707
407	7360	10679
408	7373	10653
409	7383	10625
410	7395	10597
411	7406	10570
412	7417	10542
413	7429	10515
414	7440	10488
415	7452	10462
416	7463	10435
417	7475	10408
418	7486	10380
419	7497	10354
420	7511	10330
421	7524	10306
422	7536	10280
423	7547	10253
424	7559	10228
425	7572	10203
426	7584	10177
427	7595	10150
428	7607	10126
429	7621	10102
430	7634	10078
431	7647	10055
432	7661	10033
433	7676	10010
434	7688	9986
435	7702	9964
436	7715	9939
437	7725	9913
438	7737	9888
439	7749	9862
440	7761	9838
441	7773	9813
442	7784	9787
443	7796	9762
444	7808	9738
445	7820	9714
446	7832	9689
447	7845	9666
448	7856	9641
449	7868	9617
450	7880	9593
451	7892	9568
452	7904	9544
453	7917	9522
454	7930	9499
455	7948	9482
456	7967	9467
457	7982	9446
458	7998	9426
459	8014	9408
460	8029	9387
461	8043	9366
462	8058	9347
463	8071	9323
464	8083	9300
465	8097	9279
466	8112	9258
467	8125	9236
468	8136	9212
469	8149	9189
470	8162	9167
471	8174	9144
472	8186	9120
473	8197	9097
474	8209	9073
475	8220	9049
476	8231	9024
477	8242	9001
478	8253	8977
479	8264	8953
480	8275	8928
481	8286	8905
482	8297	8881
483	8309	8858
484	8320	8835
485	8330	8810
486	8342	8787
487	8354	8765
488	8364	8741
489	8375	8717
490	8387	8694
491	8397	8670
492	8409	8647
493	8421	8626
494	8432	8602
495	8445	8581
496	8457	8559
497	8468	8536
498	8482	8516
499	8496	8496
500	8512	8478
501	8528	8460
502	8543	8441
503	8559	8423
504	8574	8404
505	8588	8384
506	8610	8373
507	8639	8367
508	8659	8353
509	8677	8337
510	8694	8320
511	8707	8299
512	8720	8278
513	8732	8256
514	8743	8233
515	8755	8212
516	8766	8189
517	8779	8169
518	8790	8146
519	8802	8125
520	8814	8104
521	8825	8081
522	8837	8060
523	8851	8040
524	8864	8020
525	8877	8000
526	8889	7978
527	8902	7958
528	8914	7937
529	8927	7916
530	8939	7895
531	8951	7874
532	8962	7852
533	8974	7831
534	8986	7810
535	9000	7791
536	9016	7773
537	9030	7754
538	9043	7734
539	9054	7713
540	9066	7691
541	9079	7672
542	9092	7652
543	9104	7631
544	9115	7610
545	9127	7589
546	9140	7569
547	9152	7548
548	9163	7527
549	9176	7507
550	9187	7486
551	9198	7465
552	9210	7444
553	9222	7424
554	9233	7403
555	9244	7382
556	9256	7361
557	9267	7341
558	9278	7320
559	9292	7301
560	9305	7281
561	9317	7261
562	9328	7240
563	9341	7221
564	9353	7201
565	9365	7180
566	9377	7161
567	9391	7142
568	9405	7124
569	9418	7105
570	9431	7086
571	9443	7066
572	9455	7046
573	9469	7027
574	9479	7006
575	9493	6987
576	9506	6969
577	9520	6951
578	9534	6932
579	9546	6912
580	9558	6893
581	9569	6873
582	9583	6854
583	9594	6834
584	9606	6814
585	9619	6796
586	9634	6778
587	9646	6759
588	9657	6738
589	9670	6720
590	9684	6702
591	9699	6684
592	9712	6665
593	9723	6646
594	9736	6627
595	9747	6607
596	9761	6589
597	9773	6569
598	9785	6551
599	9798	6532
600	9811	6513
601	9823	6494
602	9835	6475
603	9847	6456
604	9861	6438
605	9879	6423
606	9894	6405
